,,Mid-2010 to Mid-2011,,,,,Mid-2011 to Mid-2012,,,,,Mid-2012 to Mid-2013,,,,,Mid-2013 to Mid-2014,,,,,Mid-2014 to Mid-2015,,,,,Mid-2015 to Mid-2016,,,,,Mid-2016 to Mid-2017,,,,,Mid-2017 to Mid-2018,,,,,Mid-2018 to Mid-2019,,,,,Mid-2019 to Mid-2020,,,,
E07000139,North Kesteven,108518,296,231,5866,4760,109311,240,203,6105,5548,109935,219,189,6042,5404,111197,237,114,6278,5537,112186,281,114,6222,5556,113644,254,107,6439,5406,115230,232,107,7656,6256,115985,236,210,7234,6249,116915,226,145,7373,6509,118149,198,83,6728,5435
S12000050,North Lanarkshire,337720,633,517,5907,6081,337890,528,732,6178,6245,337780,410,752,6232,6275,338000,490,655,6430,6351,338260,623,458,6958,6983,339390,735,469,7326,6610,339960,584,534,7108,6424,340180,480,630,7330,6630,341370,560,560,7820,6610,341140,500,850,6090,5310
E06000013,North Lincolnshire,167516,675,218,4446,4723,168351,703,291,4948,4839,168716,641,272,4729,4917,169213,729,334,4973,4986,169843,905,283,5012,5018,170807,832,315,5105,4790,171294,773,385,5659,5509,172005,1028,330,5743,5635,172292,756,382,5836,5674,172748,686,264,5052,4848
E07000147,North Norfolk,101664,435,103,4709,3891,101829,460,180,4605,4225,102079,413,174,4668,4078,102872,398,173,5183,4222,103252,414,95,4926,4233,103587,382,165,4821,4100,104067,363,112,5440,4546,104552,335,166,5524,4521,104837,331,111,5638,4836,105167,312,111,5283,4219
E06000061,North Northamptonshire,317959,1558,1000,14180,13066,321483,1702,1099,15195,13851,324009,1660,901,15055,14084,327856,1995,687,15459,14404,331763,2446,831,15788,14577,336991,2904,949,16165,14075,341841,2326,920,19153,16615,345477,2721,1957,18865,16821,348228,2316,1498,18909,17916,350448,2024,1000,12105,11326
E06000024,North Somerset,203091,695,544,8263,7431,204454,628,469,8951,7904,206182,589,462,9246,7717,208185,770,495,9622,8010,209941,822,519,9387,7740,211747,844,621,9275,7575,212834,751,622,9999,8790,213919,865,495,9888,8743,215052,747,777,10147,8833,215574,698,585,8583,7708
E08000022,North Tyneside,201206,528,492,6841,6401,201444,425,522,7294,7311,202167,445,361,7369,6944,202857,450,470,7605,7262,202725,507,398,7163,7274,203575,730,310,7381,7084,204473,480,415,8437,7636,205985,579,221,8864,7637,207913,507,293,9356,7696,208871,484,209,7797,6817
E07000218,North Warwickshire,62089,136,99,2744,2801,62206,94,54,3045,2978,62119,77,68,2904,3076,62448,124,60,3248,3025,62765,157,81,3264,2927,63193,140,58,3310,2926,64069,133,56,4143,3280,64850,147,78,4370,3593,65264,121,74,4098,3642,65452,109,62,3488,3065
E07000134,North West Leicestershire,93670,272,171,3620,3586,93985,169,120,4015,3954,94716,173,141,4334,3785,95731,203,106,4904,4072,97098,262,101,5018,3923,98436,244,113,4950,3873,100109,229,109,6084,4621,102126,242,232,6580,4665,103611,203,164,6495,5225,104809,183,94,5656,4484
E06000057,Northumberland,316278,696,607,8370,7871,316489,459,479,9146,8880,316389,437,391,9005,8690,316832,568,583,9880,8911,316453,463,309,9732,9066,317444,452,220,9854,8669,319030,540,405,11426,9226,320274,548,237,11750,9763,322434,524,360,12266,9414,323820,526,293,10963,8120
E07000148,Norwich,132158,2518,1011,10304,10772,133867,2032,1273,11043,10995,135118,2364,1183,10730,11494,136587,2512,953,10766,11670,138097,2926,785,10455,11692,139865,2897,1477,11063,11318,140353,2431,1549,12763,13703,141137,2583,1927,13538,13741,140573,2748,1919,13659,15446,142177,3091,1581,13440,13546
E06000018,Nottingham,303899,6613,3540,23769,24374,308463,6006,3724,25407,25317,310657,6711,3939,24228,26831,314385,6475,3103,25602,27289,318936,6860,3114,25977,26874,324779,7019,3113,25864,26022,329209,6274,2500,30611,31786,331069,7503,5328,31019,32846,332900,7262,4391,32768,35330,337098,8042,2800,32329,34466
E07000219,Nuneaton and Bedworth,125409,379,398,4362,4316,125867,257,278,4774,4786,126118,269,298,4407,4580,126309,299,273,4470,4773,126603,420,286,4642,4729,127674,502,241,4960,4576,128659,383,256,6103,5576,128902,431,367,5730,5789,129883,404,394,6407,5654,130373,340,291,5378,4963
E07000135,Oadby and Wigston,55979,365,140,4555,4138,56110,249,220,4756,4743,56282,218,134,4559,4520,56060,238,127,4390,4705,55984,275,126,4591,4774,55991,335,118,4437,4648,57035,285,107,5369,4502,57056,299,158,5249,5367,57015,325,121,5378,5548,57313,344,78,4771,4585
E08000004,Oldham,225157,1290,634,5837,6620,225734,1089,542,6177,7438,226966,1111,628,6308,6932,228182,1174,602,6896,7529,230197,1519,548,7019,7136,232349,2219,521,6619,7375,233759,1423,512,7844,8546,235623,1598,507,7993,8378,237110,1596,364,8507,9349,237628,1425,520,6802,7935
S12000023,Orkney Islands,21420,66,43,600,524,21530,38,71,697,558,21560,49,77,712,604,21580,52,68,695,612,21670,53,50,658,561,21850,52,49,806,586,22000,48,40,733,537,22190,50,60,780,510,22270,60,60,750,600,22400,40,90,650,450
E07000178,Oxford,150245,5853,3751,15378,16694,151477,5315,4096,15165,16288,152406,4873,3374,14188,15732,154664,5763,3013,14654,16224,154716,5988,3766,14093,17168,155292,5822,3458,14236,17001,154582,5266,3931,16716,19543,154327,6752,4606,16974,20056,152457,6583,5097,17372,21448,151584,7512,5930,16606,19516
W06000009,Pembrokeshire / Sir Benfro,122613,333,343,3598,3550,123135,333,197,4080,3696,123375,251,143,3931,3633,123826,289,159,4092,3629,123671,315,216,3717,3675,124237,297,122,4410,3680,124711,289,200,4424,3669,125055,333,189,4410,3794,125818,281,213,4779,3651,126751,248,121,4174,2859
E07000122,Pendle,89576,476,169,2869,3252,89541,411,237,2964,3644,89973,410,198,3130,3396,89655,569,238,2889,3963,89925,637,191,2949,3522,90515,795,199,2943,3413,90696,663,265,3416,3913,91405,949,189,3470,3759,92112,685,134,3788,3958,92145,579,226,3080,3636
S12000048,Perth and Kinross,146850,1628,511,4831,4122,147740,1384,932,5008,4480,147770,841,851,5136,4749,148930,1241,774,5518,4578,149930,948,485,5564,4764,150680,938,518,5391,4749,151100,702,554,5469,4719,151290,680,530,5320,4810,151950,770,460,5610,4890,151910,680,710,4610,3860
E06000031,Peterborough,184457,2579,839,7204,7908,186596,2348,1010,7541,8543,188371,2368,912,7215,8572,190493,2550,667,7189,8831,193657,2758,667,7878,8587,196735,3023,1077,7979,8623,198914,2613,1203,9421,9777,201041,2659,1536,9554,10047,202259,2344,1391,9443,10331,202626,2079,1183,8005,9409
E06000026,Plymouth,256589,2421,1000,12694,12852,257744,1806,961,13589,13700,258592,1674,1044,12321,12760,260512,2093,1304,13305,13479,261386,2066,1128,12951,13808,262355,1953,1317,13031,13421,263070,1835,1159,14647,15116,263100,1615,994,14735,15171,262100,1793,1450,14110,15411,262839,1910,929,13008,13443
E06000044,Portsmouth,205433,2810,1580,12240,12023,206517,2381,1555,12617,13483,206670,2431,1583,10832,12535,208037,2801,1425,11589,12667,210538,3130,1472,12030,12147,213335,3021,1406,11950,11866,214718,2635,1637,14346,14650,215133,2925,2071,14018,15244,214905,2996,1949,14258,16411,214692,3339,2195,12588,14500
W06000023,Powys / Powys,133071,231,267,5024,4797,133015,280,334,5478,5256,132786,284,184,5105,5165,132777,340,283,5309,5133,132730,355,393,5520,5135,132337,333,183,5119,5230,132515,385,255,5798,5236,132447,354,275,5704,5415,132435,369,208,5746,5356,133030,284,149,5442,4311
E07000123,Preston,140054,1560,894,7634,7865,140456,1071,790,8348,9016,140002,1120,1060,7713,8877,139907,1351,1107,8209,9217,140685,1606,1000,8473,9009,141023,1684,1164,8247,9259,141346,1448,1308,8879,9253,141818,1850,1106,8770,9346,143135,1782,638,8908,9443,144147,1887,1127,8998,9015
E06000038,Reading,155339,3065,2753,11551,13505,156795,2637,2035,11931,12575,158621,2729,2027,12372,12877,160268,3370,1714,11847,13340,161701,3691,1731,11747,13672,162701,3727,1714,11558,14048,163075,3341,1882,12809,15187,163203,3824,2012,12971,15856,161780,3644,2432,13425,17157,160337,3787,3025,11999,15084
E09000026,Redbridge,281395,5743,2223,16396,16461,284625,4302,1928,16801,18983,288850,3848,1239,17492,18805,293853,5189,1560,18830,20452,297928,5552,1528,17949,20861,301328,6620,1733,17307,21728,301785,5732,1817,18574,25145,303858,5923,1370,20406,25749,305222,5411,1770,20548,25614,305658,4761,2256,17392,21860
E06000003,Redcar and Cleveland,135164,347,309,3476,3735,134976,156,151,3712,4179,134960,151,84,3951,4171,135102,176,105,3951,4067,135324,211,129,4214,4019,135496,353,89,4105,4080,136005,286,97,4919,4484,136718,309,45,4993,4344,137150,272,70,5082,4636,137228,306,58,4216,3967
E07000236,Redditch,84318,371,227,2516,2857,84444,334,190,2564,3148,84505,365,241,2565,3071,84505,454,207,2685,3438,84821,578,260,2827,3274,85088,610,199,2600,3181,85204,518,194,2892,3409,84989,433,320,2968,3544,85261,387,247,3199,3355,85568,376,209,2862,2911
E07000211,Reigate and Banstead,138375,722,566,7787,6709,139772,580,583,8206,7504,140928,596,581,7854,7262,142858,767,445,8740,7451,143794,795,503,8183,7944,145284,844,434,8165,7742,146383,736,470,9105,8577,147757,772,527,9581,8910,148748,658,493,9392,8968,149243,595,517,8119,7796
S12000038,Renfrewshire,174700,729,273,4052,3919,174300,428,512,3915,4226,173890,331,537,4076,4213,174230,431,439,4597,4217,174560,548,270,4862,4549,175930,804,292,5358,4256,176830,631,346,5222,4345,177790,640,450,5530,4370,179100,730,410,5480,4280,179390,650,700,4610,3710
W06000016,Rhondda Cynon Taf / Rhondda Cynon Taf,234373,751,631,5865,6411,235612,756,363,6681,6325,236166,790,193,6473,6789,236871,838,324,6667,6809,237378,993,339,6537,6811,238179,790,280,6953,6848,239127,730,388,7463,7035,240131,742,339,7662,7019,241264,814,282,7725,7175,241873,937,229,6666,6316
E07000124,Ribble Valley,57292,153,123,2684,2433,57606,133,98,2922,2556,57878,130,135,2799,2428,58105,137,124,3057,2692,58519,173,96,3067,2595,58864,151,113,3084,2660,59504,138,126,3615,2855,60057,175,81,3484,2851,60888,174,41,3713,2854,62026,167,61,3663,2486
E09000027,Richmond upon Thames,187527,2154,1931,12918,12939,188971,1832,2238,13717,13465,191138,1635,1552,13779,13283,193315,1859,1474,14219,14011,194124,1981,1403,13291,14483,195187,2106,1567,13213,14070,195680,1871,1637,14726,15791,196904,2044,1212,14806,15588,198019,1924,1421,15303,15770,198141,1869,1498,12973,13984
E07000166,Richmondshire,53287,394,350,2442,2603,53808,282,411,2666,2757,53897,239,226,2674,2766,52812,234,188,2611,3085,52565,184,151,2933,2889,53876,290,103,2704,2785,53699,230,104,3297,3322,53244,213,72,3102,3447,53730,226,85,3179,3401,53732,192,69,2677,2764
E08000005,Rochdale,211929,1030,744,6280,7030,211947,731,631,6213,7422,212137,910,669,6348,7490,212976,1000,597,6709,7310,214314,1351,641,6896,7141,216350,1694,628,7171,7218,218459,1331,616,8397,8062,220001,1406,659,8339,8264,222412,1447,421,9104,8715,223659,1115,523,7245,7193
E07000075,Rochford,83333,150,129,3468,3662,83895,91,61,4071,3601,83955,92,73,3813,3554,84809,113,47,4356,3659,85192,120,40,4099,3763,85708,123,71,4285,3744,86209,107,56,4490,3991,86981,113,65,4800,3933,87368,96,48,4562,4220,87627,84,37,3957,3604
E07000125,Rossendale,68053,146,107,2860,2878,68332,98,91,3070,3045,68698,96,106,3031,2855,69104,108,89,3296,3118,69418,108,68,3131,2966,69787,107,71,3245,3095,70365,125,52,3698,3300,70895,145,60,3641,3295,71482,165,38,3951,3533,71432,163,83,2966,3040
E07000064,Rother,90729,306,272,5184,4541,91065,310,294,5485,4599,91232,240,166,5326,4598,92370,298,120,6218,4644,93192,311,171,6086,4680,93966,320,135,5899,4706,94997,266,104,6318,4823,95656,427,134,5978,5017,96080,407,136,5881,5072,96716,436,192,5572,4488
E08000018,Rotherham,257716,803,360,6583,6969,258424,631,387,7147,7281,258817,709,374,6959,7452,260256,706,363,7967,7583,260929,739,309,7602,7529,262142,871,357,7537,7420,263375,794,389,9157,8597,264671,738,391,9409,8787,265411,810,439,9630,9368,264984,612,258,7866,8187
E07000220,Rugby,100496,601,409,4518,3878,101030,631,444,4266,4385,101819,710,393,4365,4227,103189,845,435,4822,4397,104455,941,379,4498,4122,105291,979,445,4416,4385,106350,861,432,5450,5047,107194,907,583,5347,5025,108935,768,550,6363,5133,110650,686,406,5878,4529
E07000212,Runnymede,80501,1204,739,6282,6225,81878,1330,871,6788,6173,83094,1148,500,6338,6024,83906,1262,691,6418,6496,84992,1526,767,6466,6422,86370,1537,666,6591,6340,86882,1299,711,7455,7705,88000,1668,743,7646,7609,89424,1706,917,8255,7897,90327,1967,1324,7730,7591
E07000176,Rushcliffe,111248,383,426,6314,6095,111520,408,311,6556,6528,112910,290,225,7405,6193,113690,351,197,7244,6718,114497,333,183,7185,6535,115168,346,211,6982,6483,115996,310,164,8133,7443,117671,434,236,8619,7139,119184,375,125,8949,7659,121416,411,116,8860,6743
E07000092,Rushmoor,94354,1003,1054,5652,5776,94806,656,546,5643,6299,94897,539,546,5171,5869,95228,617,384,5488,6147,95166,648,395,5425,6199,96091,762,404,5408,6402,95817,633,362,6279,7261,95142,663,508,5920,7208,94599,584,648,6123,7203,94387,529,625,5378,5910
E06000017,Rutland,37581,172,147,2253,2138,37096,130,141,2258,2405,37791,124,117,2413,2206,38263,162,65,2471,2438,38352,148,57,2640,2278,38949,147,53,2430,2210,39474,131,58,3055,2510,39697,196,108,2824,2624,39927,176,75,2886,2551,40476,203,54,2572,2264
E07000167,Ryedale,51893,164,100,2240,2085,52157,191,147,2681,2352,52334,167,151,2536,2143,52848,173,123,2883,2318,53332,205,119,2789,2290,53861,209,83,2864,2291,54311,189,117,3182,2669,54920,215,110,3235,2530,55380,180,157,3184,2675,55629,169,123,2833,2432
E08000006,Salford,234487,3105,1346,11874,12239,236946,2611,1600,12767,12630,238674,2580,1692,12301,12909,241539,3121,1799,12812,12638,245186,3540,1466,13216,12879,248121,3451,1653,13068,13532,251332,3085,2172,17078,16221,254408,3057,2333,17698,16518,258834,3000,1386,19774,18370,262697,3167,1660,17968,16572
E08000028,Sandwell,309042,2266,1180,11918,12744,311245,1835,717,12758,13998,313980,1809,841,13108,13473,316289,2234,809,12982,14021,319101,2846,812,12590,13585,322631,3447,719,12467,13606,325460,2798,584,15452,16579,327378,2787,887,15409,16897,328450,2623,848,15450,17688,329042,2305,621,13218,15217
E07000168,Scarborough,108735,436,267,3990,4291,108662,362,275,4430,4314,108330,349,275,4461,4482,108152,377,350,4496,4409,108089,357,197,4358,4233,108157,444,258,4352,4114,108370,405,257,5009,4575,108736,518,236,4904,4277,108757,436,264,4823,4611,108737,402,205,4281,3819
S12000026,Scottish Borders,113880,373,307,3718,3296,113720,383,449,3609,3498,113880,250,423,3723,3242,114040,283,456,3913,3460,114030,264,314,3866,3381,114530,315,312,4079,3392,115020,257,240,4179,3378,115270,250,380,4280,3470,115510,290,330,3980,3350,115240,250,520,3340,2800
E07000188,Sedgemoor,114919,597,317,5380,4533,116067,504,244,5602,4838,117441,476,266,5706,4634,118959,529,252,5960,4904,120141,549,210,5670,4893,121345,545,289,5737,4942,122178,494,308,6111,5430,122791,506,269,5915,5409,123178,433,396,6106,5574,123446,386,286,5200,4677
E08000014,Sefton,273969,894,525,7446,7373,273798,630,430,8423,8452,273372,621,562,8085,8086,273856,707,564,8825,8260,274089,769,524,8696,8097,274853,873,582,8868,8084,274589,838,770,9828,9357,275396,960,783,10576,9315,276410,808,431,10812,9641,275899,707,494,9060,8462
E07000169,Selby,83547,241,84,3722,3609,84199,240,129,4032,3677,84893,243,84,4021,3639,85622,333,163,4201,3860,86215,261,123,4263,4029,86942,285,157,4393,3974,87887,299,170,5144,4401,89106,257,143,5437,4459,90620,243,198,5764,4463,91697,230,143,4749,3795
E07000111,Sevenoaks,115351,435,323,6286,5813,116306,412,431,6794,6205,116889,416,377,6633,6327,117625,510,273,7054,6816,118165,509,281,7060,6973,119011,557,229,6753,6491,119429,490,256,7062,7031,120293,503,296,7326,6803,120750,471,368,7491,7258,121387,440,364,6931,6299
E08000019,Sheffield,551756,7750,2532,22987,23484,557276,6988,3483,23913,24115,560199,7048,3094,21758,24641,563463,6998,3905,23580,25238,569177,7828,2936,24559,25265,574050,7431,3498,24229,25029,577789,6859,3250,28856,30127,582506,7429,3192,30090,30804,584853,7882,3950,29748,32319,589214,9019,3238,27444,29199
S12000027,Shetland Islands,23240,101,66,607,583,23210,91,89,575,645,23200,60,92,587,644,23220,51,90,623,589,23200,93,61,612,680,23200,91,52,585,639,23080,53,71,486,601,22990,60,70,520,590,22920,80,60,520,630,22870,50,100,520,500
E06000051,Shropshire,307108,1015,785,11046,9769,308416,856,627,11473,10571,309085,789,762,11373,10057,310774,984,757,12421,10720,312227,1092,781,12074,10624,314392,1126,644,12126,10134,317459,979,559,14931,11668,320274,1363,911,14711,11439,323136,1241,937,15087,11688,325415,1242,658,13053,10167
E06000039,Slough,140713,2329,1575,5894,6410,141820,1539,1126,6160,7417,142672,1456,1131,5926,7285,144340,1903,800,6434,7742,146038,2301,917,6715,8153,147736,2309,841,6902,8502,148768,2024,992,7544,9305,149112,2048,1266,7482,9532,149539,1796,1308,7823,9450,149577,1624,1361,6664,8338
E08000029,Solihull,206856,583,569,8366,8326,207450,486,374,9212,9279,209140,483,370,9955,8627,210227,548,357,9852,9323,210834,584,353,9476,9390,212166,621,303,9708,9037,213933,535,242,11768,10488,214909,572,313,11535,10975,216374,471,284,12082,11050,217487,432,223,10266,9118
E07000246,Somerset West and Taunton,145143,648,399,6375,6077,146042,653,406,7061,6407,146597,575,395,6938,6297,147319,667,485,7112,6421,148759,786,412,7610,6217,150444,858,487,7782,6186,152288,699,468,8813,6815,153866,933,464,8552,6977,155115,830,690,8413,6904,155421,822,481,6599,6148
S12000028,South Ayrshire,112980,306,226,3175,2659,112920,241,341,3354,2897,112870,167,360,3559,2961,112530,166,332,3265,2996,112400,254,240,3495,3198,112470,256,218,3530,3022,112680,251,247,3616,2930,112550,210,260,3500,2950,112610,210,260,3590,2980,112140,220,410,2960,2420
E07000012,South Cambridgeshire,149842,912,441,9558,8712,150906,829,686,9841,9528,151188,732,651,9574,9089,152932,953,496,9954,9319,154488,967,460,9772,9247,156020,968,684,9803,9272,156705,875,734,10606,10544,157519,994,728,10700,10584,159086,876,715,11159,10237,160904,833,529,10150,8941
E07000039,South Derbyshire,94915,209,214,4911,4374,95934,152,174,5342,4720,97111,150,124,5342,4441,98395,169,108,5690,4817,99345,173,96,5566,4856,100421,209,122,5466,4789,102385,188,127,7299,5631,104493,209,217,7561,5682,107261,206,128,8422,5885,109516,181,83,7387,5371
E06000025,South Gloucestershire,263417,1400,578,12698,12012,266193,1101,646,14164,12986,268951,1515,829,14327,13058,270994,1714,1072,13936,14119,273952,1847,863,14301,13266,276677,1906,1406,14552,13373,279027,1609,1324,16373,15160,282644,1869,1056,17279,15211,285093,1835,1645,17465,16264,287816,1891,1099,16144,14671
E07000044,South Hams,83563,284,241,4831,4733,83703,288,159,5064,4673,84112,270,165,4946,4491,84435,318,186,5234,4975,84886,304,174,5163,4654,84834,291,187,4904,4759,85340,292,180,5772,4984,86221,307,117,6084,5043,87004,249,194,6142,5144,87946,236,207,5674,4387
E07000140,South Holland,88390,669,193,3216,3045,88546,610,258,3435,3620,89184,805,237,3605,3428,90382,887,185,4119,3585,91245,1023,177,3758,3606,92527,1085,215,3974,3532,93295,904,305,4279,3927,93980,818,573,4511,3927,95019,739,313,4691,3976,95857,680,214,4242,3569
E07000141,South Kesteven,134125,458,346,6174,5462,135212,469,310,6493,5700,136612,508,365,6861,5741,138339,602,261,7223,6060,139376,606,290,6912,6338,140900,609,274,7064,6044,141662,540,322,7792,7138,141853,469,691,7556,6999,142424,454,342,7723,7121,143225,416,212,6911,6102
E07000031,South Lakeland,103713,459,443,4161,4113,103544,504,353,4340,4322,103593,476,402,4500,4138,103501,493,409,4620,4382,103776,593,400,4815,4357,103826,607,369,4700,4488,104321,499,521,5405,4491,104532,552,523,5312,4624,105088,489,275,5595,4920,104905,478,370,4793,4250
S12000029,South Lanarkshire,313900,560,561,7063,6475,314330,449,770,7722,6993,314810,308,732,7899,6896,315300,371,744,7923,7039,316230,454,615,8715,7520,317100,640,507,8525,7561,318170,523,542,8606,7309,319020,450,660,8860,7350,320530,580,570,9310,7490,320820,500,860,7680,6140
E07000149,South Norfolk,124495,329,139,7132,5679,125987,291,254,7431,6121,127682,268,216,7591,6054,129345,352,212,7937,6525,131199,381,187,8047,6384,132965,342,252,7946,6372,135471,332,253,9899,7369,138017,377,299,9745,7177,140880,315,278,10220,7286,143066,295,181,8867,6522
E07000179,South Oxfordshire,134961,650,708,7048,6907,135722,569,534,7627,7415,136328,599,619,7801,7404,137477,708,478,8150,7732,138177,723,486,8074,7856,139156,783,446,8062,7892,139767,696,514,8774,8653,140504,747,589,9091,8619,142057,676,678,10104,8714,143782,608,656,9209,7544
E07000126,South Ribble,109181,301,140,4234,4361,108999,253,151,4337,4889,108964,195,192,4616,4894,109116,207,204,4690,4814,109685,208,177,4996,4669,110136,221,190,4746,4596,110400,222,208,5064,4909,110527,188,194,5227,5127,110788,196,85,5432,5325,111086,193,101,4778,4462
E07000189,South Somerset,162113,683,335,7085,6360,163038,537,465,7515,6818,164006,533,435,7402,6574,164834,666,335,7616,7160,165510,781,468,7573,7193,166526,808,484,7537,6913,167216,700,522,8203,7762,167861,746,497,8120,7443,168345,649,722,8386,7531,168696,587,513,7038,6490
E07000196,South Staffordshire,108318,174,95,4712,4364,108443,130,70,4897,4759,110323,120,106,5265,4589,110688,118,88,5420,4978,110712,139,93,5250,4922,111173,156,76,5408,4875,111890,128,61,6281,5816,112126,144,69,6001,5580,112436,131,70,6395,5828,112369,122,53,5489,4935
E08000023,South Tyneside,148164,536,189,3160,3315,148311,652,300,3287,3572,148384,286,183,3451,3414,148572,281,244,3651,3531,148495,349,219,3481,3565,149194,281,132,3777,3300,149555,311,196,4139,3725,150265,329,107,4584,3852,150976,465,151,4609,3991,151133,422,87,3831,3584
E06000045,Southampton,235870,4923,2816,15322,16285,238519,3957,2648,17084,17352,239858,4526,2643,14838,16872,242106,5299,2340,15101,17325,246054,5892,2655,16103,16913,250377,5836,2685,16210,16493,252359,4957,3103,18290,19380,252796,5913,3755,17712,20523,252520,5966,3827,17866,21404,252872,6790,3869,15531,19067
E06000033,Southend-on-Sea,174274,918,858,7680,6953,175091,663,687,7999,7742,176236,634,556,7862,7297,178367,754,457,8783,7483,179234,864,434,8014,7900,180606,879,558,8069,7424,181808,796,478,9098,8397,182463,823,620,8887,8509,183125,763,485,9541,9381,182773,743,414,7535,8119
E09000028,Southwark,288717,8557,3494,23874,26096,293440,7754,4572,24736,26926,298663,8241,4415,25267,27520,302818,8778,4456,25873,29411,308434,9081,4332,26806,29244,311655,8294,4801,25742,29214,314232,7837,5568,29296,32005,317256,8714,5628,30312,33342,318830,8290,7267,32846,35052,320017,9212,6568,27835,31683
E07000213,Spelthorne,95852,562,459,5095,4617,96737,461,390,5262,4808,97371,418,404,4941,4754,97941,542,366,5339,5452,98419,636,361,5400,5520,98869,669,353,5165,5427,99120,567,415,5930,6182,99334,621,464,5890,6235,99844,544,385,6304,6279,99873,493,477,5637,5820
E07000240,St Albans,141248,772,897,7812,7146,142137,597,938,8154,7906,143458,635,679,8198,7655,145208,769,518,8599,7981,146188,828,459,8210,8279,147025,907,412,7817,8263,147095,807,498,8446,9304,147373,799,626,8615,9060,148452,706,516,9251,8960,149317,635,543,8371,7917
E08000013,St. Helens,175405,383,270,4493,4343,176124,250,210,4923,4699,176221,256,243,4848,4956,177191,317,263,5297,4698,177592,341,240,5158,4877,178480,434,237,5353,4749,179331,416,339,6412,5745,180049,435,372,6384,5693,180585,413,218,6673,6270,181095,382,300,6167,5342
E07000197,Stafford,130895,572,291,5395,5309,131554,530,421,5851,5356,131984,576,395,5542,5254,132044,600,433,5498,5676,132220,651,363,5418,5454,133664,628,352,5908,5469,134764,574,196,6993,6234,135880,535,249,6860,5835,137280,465,232,7088,5932,137858,421,199,6031,5138
E07000198,Staffordshire Moorlands,97209,165,105,3368,3337,97239,106,70,3737,3608,97488,108,64,3753,3321,97838,122,83,3944,3433,98011,134,92,3868,3457,98176,123,74,3780,3444,98496,119,61,4373,3804,98397,118,72,4143,3947,98435,108,66,4355,4063,98427,98,44,4022,3651
E07000243,Stevenage,84247,389,309,3850,3509,84824,283,255,3779,3806,85520,293,220,3809,3719,85993,371,194,3960,4110,86579,445,97,4227,4361,87285,525,204,4231,4290,87739,419,246,4717,4843,87754,499,390,4653,5169,87845,418,383,4821,5187,88104,370,230,4301,4468
S12000030,Stirling,90330,1363,378,3798,3762,91010,1054,639,4154,3795,91230,685,738,4348,4042,91520,614,658,4519,4008,92830,1033,396,4905,4130,93750,818,377,4727,4156,94000,603,605,4473,4136,94330,630,470,4570,4220,94210,770,470,4300,4530,94080,780,730,3750,3670
E08000007,Stockport,283253,902,821,9360,9311,283766,688,704,10284,10575,284890,765,816,10326,9916,286388,748,794,11233,10559,288169,802,739,11344,10174,289821,846,776,11325,10493,291045,809,858,12879,12182,291775,928,846,12736,12494,293423,802,426,13814,12913,294197,747,618,11686,11052
E06000004,Stockton-on-Tees,191824,827,598,6180,6089,192487,662,550,6261,6629,193433,732,412,6347,6544,194423,942,633,6390,6507,195128,1012,552,6442,6659,195958,1093,378,6287,6574,196487,926,504,7134,7438,197213,1131,286,7323,7762,197348,1384,371,7435,8559,197419,1187,276,6654,7413
E06000021,Stoke-on-Trent,248719,1625,629,8563,9876,249792,1282,866,9397,10060,250194,1415,875,8879,10246,250956,1524,939,9358,10552,251746,1990,851,8959,10183,253659,2362,730,9300,10092,255378,1985,726,11255,11629,255833,2149,955,10560,11813,256375,2268,920,10581,12165,256622,2020,722,9754,11221
E07000221,Stratford-on-Avon,120824,570,459,6175,5372,120794,714,500,5873,6117,121253,583,392,5878,5562,121779,713,376,6276,5889,122438,755,381,6399,5755,123345,775,370,6470,5797,125202,687,307,8355,6630,127580,724,436,8863,6419,130098,622,428,8973,6431,132402,571,294,7933,5478
E07000082,Stroud,113074,366,229,5149,4729,113407,323,185,5003,4857,114094,254,157,5447,4694,115274,325,222,6061,4808,116774,319,261,6258,4710,117472,307,256,5781,5059,118130,305,236,6278,5471,119019,363,212,6492,5569,119964,318,258,6724,5694,120903,291,183,6126,5011
E08000024,Sunderland,275330,1690,538,6148,7367,275764,1345,646,6651,7401,276089,1614,506,6504,7390,276782,1795,766,6772,7248,276813,1620,728,6765,7395,277307,1358,487,6774,7155,277249,1447,697,7303,8051,277417,1463,384,7421,8143,277705,1558,487,7973,8484,277846,1728,395,6817,7220
E07000214,Surrey Heath,86378,474,572,4957,4676,86700,373,443,5173,5114,87134,333,365,5197,4945,87814,456,286,5489,5137,88385,483,326,5260,5146,88705,484,314,5222,5249,88765,444,269,5845,5999,88874,467,294,6001,6048,89305,436,341,6369,6089,89204,370,297,5453,5360
E09000029,Sutton,191123,1219,637,9937,8977,193476,967,835,10665,9926,195787,943,587,10330,9574,197954,1071,655,11077,10483,199870,1117,642,10972,10811,201945,1232,749,11101,10766,203243,1058,866,12337,12509,204525,1111,632,12303,12496,206349,1001,695,12771,12286,207707,915,659,11141,10911
E07000113,Swale,136324,643,534,5498,4771,137794,745,300,5780,5324,139274,681,281,5656,5162,140901,784,255,6289,5572,142465,957,264,5913,5363,144917,840,246,6470,5176,146694,819,332,6371,5595,148519,990,409,6551,5658,150082,818,550,6957,6084,151015,717,710,6073,5085
